Starting JUCE FFT OSC (press Enter to quit)
OSC connected to 127.0.0.1:57122
DIAG_INPUT: rms=0.000784473 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000933281 peak=0 playbackGain=1
FFT produced count=1024 first=0.131506
DIAG_INPUT: rms=0.000903778 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00111342 peak=0 playbackGain=1
FFT produced count=1024 first=0.0368622
DIAG_INPUT: rms=0.00104466 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000820845 peak=0 playbackGain=1
FFT produced count=1024 first=0.169478
DIAG_INPUT: rms=0.000739802 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000741288 peak=0 playbackGain=1
FFT produced count=1024 first=0.00898791
DIAG_INPUT: rms=0.00103699 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000652507 peak=0 playbackGain=1
FFT produced count=1024 first=0.215482
DIAG_INPUT: rms=0.00106468 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00114376 peak=0 playbackGain=1
FFT produced count=1024 first=0.103432
DIAG_INPUT: rms=0.00165451 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000958566 peak=0 playbackGain=1
FFT produced count=1024 first=0.0488093
DIAG_INPUT: rms=0.00084643 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000991379 peak=0 playbackGain=1
FFT produced count=1024 first=0.195565
DIAG_INPUT: rms=0.000924043 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000586748 peak=0 playbackGain=1
FFT produced count=1024 first=0.0455211
DIAG_INPUT: rms=0.0010319 peak=0 playbackGain=1
DIAG_INPUT: rms=0.00071833 peak=0 playbackGain=1
FFT produced count=1024 first=0.159947
DIAG_INPUT: rms=0.000744621 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000924312 peak=0 playbackGain=1
FFT produced count=1024 first=0.0704526
DIAG_INPUT: rms=0.000743687 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000735729 peak=0 playbackGain=1
FFT produced count=1024 first=0.180146
DIAG_INPUT: rms=0.00104418 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000899727 peak=0 playbackGain=1
FFT produced count=1024 first=0.124953
DIAG_INPUT: rms=0.00109758 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000710106 peak=0 playbackGain=1
FFT produced count=1024 first=0.0250817
DIAG_INPUT: rms=0.000905706 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000948849 peak=0 playbackGain=1
FFT produced count=1024 first=0.204767
DIAG_INPUT: rms=0.000869386 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000646055 peak=0 playbackGain=1
FFT produced count=1024 first=0.0610213
DIAG_INPUT: rms=0.00104077 peak=0 playbackGain=1
DIAG_INPUT: rms=0.000574289 peak=0 playbackGain=1
FFT produced count=1024 first=0.144838
DIAG_INPUT: rms=0.000990177 peak=0 playbackGain=1
